ddate,open,high,low,close,volume
20210903,76400,76700,76000,76600,12096419
20210906,76800,77600,76600,77300,12861180
20210907,77100,77100,75900,76100,13239401
20210908,76000,76400,75600,76300,11798147
20210909,76400,76600,75000,75300,17600770
20210910,75300,75600,74800,75300,10103212
20210913,75200,76300,75100,76300,11397775
20210914,77100,77700,76600,76600,18167057
20210915,77400,77400,76400,77000,12829128
20210916,77300,77400,76100,76100,13067622
20210917,76300,77200,75900,77200,16289502
20210923,77500,77600,76800,77400,17055590
20210924,77600,77700,77100,77300,12247274
20210927,77300,77700,77000,77700,11699798
20210928,77700,77800,76200,76300,15406382
20210929,74800,75300,73800,74100,23992458
20210930,74300,74800,73700,74100,19919361
20211001,73900,74000,72900,73200,15803395
20211005,73000,73000,71400,72200,24013921
20211006,72600,72800,71200,71300,18956962
20211007,71600,72100,71300,71600,13683532
20211008,72300,72400,71500,71500,14043287
20211012,70700,70900,68700,69000,31001484
20211013,68700,69600,68300,68800,24172015
20211014,69000,69800,68800,69400,19520641
20211015,70200,71000,70000,70100,18051612
20211018,70200,70300,69200,70200,13486391
20211019,70800,71000,70400,70600,9507991
20211020,70700,71000,70200,70300,10151638
20211021,70300,70600,70000,70200,10891094
20211022,70000,70700,70000,70400,8395448
20211025,69900,70600,69500,70200,10029621
20211026,70600,71500,70400,71100,10528252
20211027,71000,71000,70000,70100,10295316
20211028,69500,72200,69500,70700,20644902
20211029,71200,71600,69700,69800,17016151
20211101,70200,70600,69900,69900,11503729
20211102,70800,72200,70700,71500,16812570
20211103,71700,71700,70100,70400,12770428
20211104,71200,71600,70500,70600,11818987
20211105,71600,71600,70200,70200,12667743
20211108,70400,70600,69800,70600,11121981
20211109,70300,71000,70100,70500,11159589
20211110,70300,70900,70200,70200,9422009
20211111,69900,70000,69600,69900,11489122
20211112,70200,70900,69900,70600,10087450
20211115,71700,71900,70900,71400,12420710
20211116,71500,72000,71300,71300,10919239
20211117,71300,71600,70600,70700,11027606
20211118,70700,71000,70200,70200,10144957
20211119,70400,71400,70100,71200,11954728
20211122,73300,75200,73000,74900,27506623
20211123,76000,76000,74500,75300,22029195
20211124,76000,76200,74100,74800,15652305
20211125,75100,75100,73600,73700,12559258
20211126,73500,74100,72000,72300,13002242
20211129,71700,73000,71400,72300,16682559
20211130,73200,73900,70500,71300,30364841
20211201,72000,74800,71600,74400,21954856
20211202,73900,75800,73800,75800,23652940
20211203,75600,76000,74100,75600,18330240
20211206,75100,76700,74900,76300,16391250
20211207,76100,77700,75600,77400,19232453
20211208,78300,78600,77100,77400,21558340
20211209,77400,78200,77000,78200,21604528
20211210,77400,77600,76800,76900,9155219
20211213,77200,78300,76500,76800,15038750
20211214,76500,77200,76200,77000,10976660
20211215,76400,77600,76300,77600,9584939
20211216,78500,78500,77400,77800,11996128
20211217,76800,78000,76800,78000,13108479
20211220,77600,77800,76800,77100,11264375
20211221,77900,78300,77500,78100,14245298
20211222,78900,79400,78800,79400,17105892
20211223,79800,80000,79300,79900,13577498
20211224,80200,80800,80200,80500,12086380
20211227,80600,80600,79800,80200,10783368
20211228,80200,80400,79700,80300,18226325
20211229,80200,80200,78500,78800,19794795
20211230,78900,79500,78100,78300,14236700
20220103,79400,79800,78200,78600,13502112
20220104,78800,79200,78300,78700,12427416
20220105,78800,79000,76400,77400,25470640
20220106,76700,77600,76600,76900,12931954
20220107,78100,78400,77400,78300,15163757
20220110,78100,78100,77100,78000,9947422
20220111,78400,79000,78000,78900,13221123
20220112,79500,79600,78600,78900,11000502
20220113,79300,79300,77900,77900,13889401
20220114,77700,78100,77100,77300,10096725
20220117,77600,77800,76900,77500,8785122
20220118,77600,77800,76600,77000,9592788
20220119,76500,76900,76100,76300,10598290
20220120,76200,76700,75900,76500,9708168
20220121,75800,75800,74700,75600,15774888
20220124,75400,75800,74700,75100,13691134
20220125,74800,75000,73200,74000,17766704
20220126,73900,74400,73100,73300,12976730
20220127,73800,74000,71300,71300,22274777
20220128,71300,73700,71200,73300,21367447
20220203,74900,74900,73300,73300,17744721
20220204,74300,74600,73400,74000,12730034
