,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS,시가,고가,저가,종가,거래량,거래대금,등락률
274,094480,갤럭시아머니트리,2344.0,104.9,4.61,103.0,0.51,55.0,16050.0,17100.0,15450.0,16650.0,3140472.0,51436294750.0,1.22
275,011420,갤럭시아에스엠,752.0,71.8,3.44,36.0,0.0,0.0,3150.0,3255.0,3060.0,3240.0,2021719.0,6354870450.0,1.09
276,039240,경남스틸,3520.0,41.56,1.4,119.0,2.02,100.0,3865.0,4155.0,3865.0,3965.0,2979505.0,11940322535.0,3.66
277,053950,경남제약,3289.0,0.0,1.24,0.0,0.0,0.0,5440.0,5440.0,5260.0,5260.0,108038.0,572687530.0,-3.31
278,223310,경남제약헬스케어,2221.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,0.0
279,002100,경농,8886.0,17.14,1.36,706.0,2.07,250.0,11850.0,12100.0,11800.0,11900.0,35334.0,419709400.0,0.0
280,009450,경동나비엔,25591.0,16.84,2.15,3261.0,0.64,350.0,58000.0,59300.0,57700.0,59200.0,42466.0,2494974900.0,1.54
281,267290,경동도시가스,60459.0,6.95,0.37,3224.0,3.91,875.0,23200.0,23200.0,22600.0,22800.0,4798.0,109852200.0,-1.08
282,012320,경동인베스트,178373.0,5.09,0.2,6956.0,1.41,500.0,35350.0,35400.0,34750.0,35000.0,1213.0,42560600.0,-0.14
283,011040,경동제약,8521.0,21.06,1.26,508.0,4.67,500.0,11500.0,11950.0,11500.0,11700.0,204154.0,2400233450.0,1.3
284,000050,경방,27063.0,29.36,0.54,499.0,0.85,125.0,13700.0,13800.0,13650.0,13750.0,4537.0,62183850.0,0.36
285,214390,경보제약,6528.0,25.05,1.51,393.0,1.02,100.0,8970.0,9150.0,8970.0,9140.0,24504.0,222343070.0,1.22
286,012610,경인양행,5059.0,0.0,1.27,0.0,0.78,50.0,6800.0,6830.0,6740.0,6770.0,123845.0,839015900.0,-0.44
287,009140,경인전자,34421.0,30.6,0.92,1033.0,0.79,250.0,31500.0,31750.0,30500.0,30500.0,10036.0,310736200.0,-3.17
288,024910,경창산업,2329.0,26.06,1.51,135.0,0.0,0.0,3275.0,3470.0,3275.0,3345.0,156283.0,525145850.0,1.67
289,013580,계룡건설,61926.0,3.19,0.57,10992.0,1.71,600.0,36500.0,37100.0,35950.0,36100.0,59623.0,2157332350.0,-2.04
290,012200,계양전기,5664.0,14.1,0.73,294.0,0.84,35.0,4400.0,4400.0,4320.0,4330.0,64646.0,280410190.0,-0.23
291,012205,계양전기우,0.0,0.0,0.0,0.0,0.6,40.0,6820.0,6840.0,6700.0,6840.0,3530.0,23802700.0,0.29
292,002140,고려산업,4108.0,11.17,0.76,278.0,1.13,35.0,3060.0,3125.0,3055.0,3120.0,55231.0,171172195.0,0.48
293,198440,고려시멘트,2888.0,28.98,1.4,139.0,0.37,15.0,4240.0,4280.0,4155.0,4210.0,678499.0,2854163305.0,0.24
294,049720,고려신용정보,2041.0,11.16,4.05,740.0,3.33,275.0,8790.0,8790.0,8500.0,8600.0,86694.0,749335370.0,-2.27
295,010130,고려아연,369358.0,16.84,1.48,32418.0,2.75,15000.0,490500.0,497000.0,489500.0,490500.0,37298.0,18350903500.0,0.1
296,002240,고려제강,59061.0,58.2,0.36,366.0,1.41,300.0,20800.0,21050.0,20250.0,20650.0,114449.0,2348105700.0,-1.43
297,014570,고려제약,6443.0,12.88,1.35,677.0,1.72,150.0,8690.0,8750.0,8590.0,8750.0,16170.0,139838020.0,0.69
298,348150,고바이오랩,3569.0,0.0,5.41,0.0,0.0,0.0,22100.0,22650.0,22000.0,22250.0,58129.0,1289983100.0,-0.22
299,098460,고영,3584.0,153.2,5.82,136.0,0.53,110.0,18850.0,19450.0,18850.0,19100.0,293927.0,5637275500.0,1.06
300,035290,골드앤에스,438.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,1305.0,0.0,0.0,0.0
301,038530,골드퍼시픽,902.0,0.0,1.32,0.0,0.0,0.0,1310.0,1365.0,1310.0,1345.0,1372009.0,1843257485.0,1.13
302,900280,골든센츄리,,,,,,,381.0,389.0,379.0,384.0,946729.0,362572276.0,-1.03
303,215000,골프존,35785.0,30.52,5.2,6101.0,1.34,2500.0,182900.0,193500.0,180500.0,183600.0,158215.0,29383783000.0,0.49
304,121440,골프존뉴딘홀딩스,10948.0,13.23,0.8,659.0,1.34,117.0,9220.0,10900.0,9160.0,10400.0,4556517.0,46411493160.0,13.66
305,183410,골프존데카,,,,,,,2325.0,2490.0,2325.0,2465.0,715.0,1731850.0,-0.6
306,076340,관악산업,,,,,,,8400.0,8700.0,8400.0,8450.0,138.0,1172100.0,0.6
307,009290,광동제약,9112.0,6.52,0.8,1119.0,1.37,100.0,7430.0,7500.0,7340.0,7350.0,199794.0,1475818340.0,-2.0
308,014200,광림,1279.0,0.0,1.52,0.0,0.0,0.0,2090.0,2175.0,2090.0,2120.0,345278.0,734461770.0,-0.47
